id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
166876,116.5242211,40.03015703,100103,30,0.04,f,46427,0.029457238,1,0
173521,116.4457199,39.85926513,100079,30,0.04,f,45582,0.005648693,0,0
166374,116.438634,39.99007318,100101,80,0.08,f,114860,0.007312482,1,1
166887,116.4409331,39.99112083,100101,80,0.08,f,61206,0.007669476,1,0
172867,116.3809977,39.91320306,100031,16,0.09,f,123743,0.000238567,1,1
167222,116.5186478,40.03187865,100015,30,0.1,f,62291,0.028458176,0,0
171473,116.3252454,39.89078964,100070,30,0.1,t,38515,0.005663913,0,0
168013,116.4748114,39.82693629,100176,40,0.1,f,42085,0.014076922,1,0
168469,116.4431419,39.92925722,100020,40,0.1,f,78503,0.002382224,1,1
170040,116.3049812,39.93633558,100048,30,0.12,f,72036,0.008745408,1,0
171956,116.2906511,40.10105433,102206,30,0.12,f,38357,0.04545655,1,0
170642,116.2783818,40.01459358,100091,30,0.13,f,67183,0.023642061,1,0
165306,116.6346242,39.90265443,101199,15,0.15,f,43856,0.057009895,1,0
167687,116.6177363,39.87802727,100024,50,0.15,f,18015,0.050497762,1,0
174118,116.2168572,39.90323885,100040,15,0.16,f,32120,0.032329299,1,0
167291,116.5143725,40.02572691,100012,55,0.18,f,43961,0.026039542,0,0
171227,116.4258711,39.8536122,100079,20,0.2,f,52773,0.004748998,1,0
173704,116.4338488,39.88828524,100061,30,0.2,f,102626,0.00217409,1,1
170125,116.3751054,39.97092487,100088,40,0.2,f,83457,0.003482373,1,0
170661,116.3470871,40.00228044,100083,40,0.2,f,81048,0.00988945,1,0
171039,116.3273077,39.7648172,102600,40,0.2,f,51646,0.027550751,1,0
167825,116.4184791,40.02673532,100029,45,0.2,f,52605,0.012797676,1,0
167078,116.4994126,39.99337111,100123,60,0.2,f,109793,0.016662887,0,0
13413,116.411019,40.15482835,102211,46,0.21,f,43197,0.057344002,0,0
168748,116.4114083,40.14738777,102211,59.32,0.21,f,32816,0.053854317,0,0
171709,116.4029581,39.85759446,100075,20,0.22,f,37430,0.003435615,1,0
166092,116.4619302,40.36051449,101403,73,0.22,f,12700,0.20207102,0,0
167343,116.3511573,40.39912289,101403,73,0.22,f,20125,0.23561233,0,0
173939,116.3498614,39.91377485,100037,12.55,0.25,f,114639,0.002153302,1,1
174854,116.1492223,39.74315097,102401,35,0.25,f,31342,0.090822458,0,0
174617,116.5312952,40.03491963,100122,50,0.25,f,65742,0.032430032,0,0
172568,116.361769,39.9377281,100034,25,0.26,f,113678,0.001666836,1,1
173652,116.2919709,39.81292502,100070,56,0.26,f,92630,0.021455252,0,0
190689,116.3893479,40.0777699,102209,85,0.27,f,24383,0.026274996,0,0
170478,116.2247972,39.97014878,100093,45,0.28,f,118049,0.032337393,0,0
169392,116.2066107,39.9689809,100093,50,0.28,f,125454,0.038777768,0,0
172417,116.3468225,39.924516,100037,60,0.29,f,101923,0.002515733,0,0
167649,116.4667884,39.86972842,100022,25,0.3,f,59324,0.007104333,1,0
168332,116.4601099,39.92093741,100020,30,0.3,f,86380,0.004108107,1,0
168967,116.5801656,39.91997247,100024,30,0.3,f,39467,0.033853227,1,0
170032,116.1633376,40.06794758,100095,30,0.3,f,51319,0.077377013,0,1
170284,116.3327589,39.95269765,100081,30,0.3,f,91195,0.005387272,1,0
170375,116.3505616,39.96732373,100191,30,0.3,f,79290,0.004737324,1,0
170947,116.428194,39.91443459,100005,30,0.3,f,90495,0.001024256,1,1
173660,116.4106777,39.9600534,100013,30,0.3,f,80266,0.002165619,1,0
173893,116.3605481,39.88375859,100053,30,0.3,f,88418,0.002300418,1,0
169436,116.2876875,39.90997178,100036,31,0.3,f,106419,0.011813505,1,0
175266,116.5628786,40.04777249,101300,34,0.3,f,48763,0.045186549,0,0
169428,116.2842975,39.90836948,100036,35,0.3,f,103960,0.012582156,1,0
170658,116.3265825,39.89882322,100038,35,0.3,f,84997,0.005138272,1,1
171838,116.3341717,40.06723261,100096,35,0.3,f,52360,0.02677577,0,0
165532,116.5418563,39.75642585,102699,40,0.3,f,39514,0.046616427,1,0
174622,116.5162295,40.03500227,100122,40,0.3,f,32001,0.028606694,0,0
165584,116.6919799,39.88804303,101101,42,0.3,f,41284,0.088245479,0,0
168635,116.4509563,40.11943586,102200,63,0.3,f,54581,0.044455481,0,0
279365,116.4644656,40.11820801,102209,64.5,0.3,f,33102,0.045618369,0,0
165921,116.6646108,39.93429566,101125,66,0.3,f,32672,0.072374972,1,0
174621,116.5072907,40.02983562,100102,70,0.3,f,65175,0.025336262,1,0
278283,116.3885587,40.07847948,102209,80,0.3,f,38573,0.026516802,0,0
173556,116.2322328,40.08199308,100094,62.86,0.32,f,34906,0.054505294,0,0
168098,116.6054817,39.88574708,100121,70,0.32,t,60679,0.04469484,0,0
166607,116.4945283,39.95094893,100026,80,0.32,f,113270,0.010898564,0,1
13406,116.2290565,40.08156627,100094,86,0.32,f,40359,0.055415462,0,1
170353,116.3039052,39.92776823,100048,29,0.33,f,89789,0.008664782,1,0
166505,116.4141309,40.01404477,100101,80,0.33,f,113500,0.009968906,1,0
173017,116.3482761,39.92674892,100037,30,0.34,f,107897,0.002418059,1,0
172845,116.3410619,39.91081751,100045,40,0.35,f,100011,0.003067441,1,1
174623,116.4734489,40.1198277,100122,60,0.35,f,14984,0.047583445,0,0
165935,116.6975417,39.96224997,101129,70,0.35,f,35919,0.092950509,0,0
171206,116.3486145,39.84319305,100067,71,0.35,f,34239,0.007540957,0,0
